行番号,会社名,問い合わせフォームURL,備考
170,アスリーブレインズ株式会社,,フォームURL確認できず。TEL 03-5318-6943
210,キズナコンコーチング&サルティング,,フォーム見つからず(比較ビズ掲載のみ)
229,さくらフォレスト株式会社,https://sakuraforest.co.jp/contact/,法人サイトのフォーム。通販側は https://sakura-forest.com/contact/
235,シエンプレ株式会社,https://www.siemple.co.jp/contact/,営業・提案専用フォーム https://www.siemple.co.jp/contact/sales/ あり
247,セールスナビ,,フォーム見つからず。TEL 03-6338-3534(調布の営業代行。大阪のsalesnavi.co.jpは別会社)
276,ネスレネスプレッソ株式会社,https://www.nespresso.com/pro/jp/ja/professional-contactus,法人(プロフェッショナル)向け新規問い合わせフォーム
285,ピクス株式会社,https://pinch-of-spice.jp/contact,
335,伊藤IP特許事務所,https://ito-ip.jp/wp-content/themes/ito/contact.php,サイト内お問い合わせページ
388,株式会社E＆F(一冨士),,フォーム見つからず。メール ichifuji-p@ef-w.co.jp / TEL 050-3775-1036
392,株式会社FAOM,https://coteam.jp/contactform/,運営サービスCo:TEAM(コチーム)のお問い合わせフォーム
420,株式会社Leep,https://rounwellness.com/shop/contact/draft,rounブランドECのフォーム。法人窓口メール biz@leep.jp
449,株式会社Oxxx,https://oxxx.co.jp/ec/contact,広報窓口メール contact@oxxx.jp
465,株式会社RS BRANDING DESIGN,,フォーム見つからず(サイト内容が検索に出ず)
526,株式会社イーストゲート,,eastgate.co.jp内のフォーム確認できず。TEL 03-6280-7741(east-gate.co.jpは別会社の可能性)
529,株式会社イズミセ(リカマン),https://www.likaman-online.com/f/contact,リカマンオンラインのフォーム。メール onlineshop@likaman.net
531,株式会社いつも,https://itsumo365.co.jp/contact/,業務提携・提案向けは https://itsumo365.co.jp/contact_02.html
539,株式会社ヴァンガードネットワークス,https://www.vanguard.ne.jp/contact/,
612,株式会社コパ・コーポレーション,https://www.copa.co.jp/contact/,EC側フォーム https://demokau.com/contact もあり
657,株式会社ソムリエ,https://wsommelier.com/apply.html?id=INQUIRY,法人サイト sommelier-wine.co.jp もあり
687,株式会社ハニーマザー,,フォーム確認できず。メール info@honeymother.jp / TEL 078-224-5439
693,株式会社ハンズトレーディング,https://www.hands-web.co.jp/f/otoiawase,
703,株式会社ビビッドソウル,https://vividsoul.co.jp/contact/,
725,株式会社プロスペリテ,,フォームURL確認できず(prosperite.jp)
734,株式会社ベルテック,https://belltech.co.jp/contact/,テレマーケティングのベルテック(同名他社に注意)
778,株式会社医食同源ドットコム,https://ishokudogen.co.jp/contact/,EC側フォーム https://cart.ishokudogen.com/contact もあり
802,株式会社須田本店,https://www.suigo.co.jp/c/contact,
809,株式会社多田(betop store),https://media.betopstore.com/contact/,betop mediaのフォーム。本体ECのフォームは確認できず。TEL 078-862-9307
818,株式会社栃木プロジェクトプロ,https://tochipro.com/contact/,メール project@tochipro.com
830,株式会社北の達人コーポレーション,https://www.kitanotatsujin.com/contact/,窓口ポータル https://otoiawase.in/ もあり
832,株式会社木下商会(きのもと商会),https://kinomoto-firm.co.jp/contact,メール info@kinomoto-firm.co.jp
860,合同会社エンハンスバリューソリュション,,フォームURL確認できず
872,山形県情報技術振興協同組合(やまがたIT協同組合),,フォームURL確認できず。TEL 0238-49-7653
881,勝山ネクステージ株式会社,https://www.shozankan-shop.com/apply.html?id=APPLY1,メール info@shozankan-shop.com
901,日本サプリメントフーズ株式会社,https://www.j-sf.co.jp/contact.html,
930,有限会社しゃぶ亭まる,https://syabumaru.com/pages/contact,メール info@syabumaru.jp
933,有限会社ブルームーン,,フォームURL確認できず(ocnkショップ)
937,有限会社込山仲次郎商店,,フォーム見つからず。TEL 045-864-8467(公式 https://www.sake-komiyama.net/)
938,有限会社山年園,,フォームURL確認できず。メール yamaneen@e-cha.co.jp / TEL 03-5944-5690
942,株式会社メディカルワイズ,https://www.medical-wise.co.jp/contact,
943,コンセント株式会社(CONCENT),https://www.concent.co.jp/inquiry/,メール info@concent.co.jp
957,有限会社マツダデザイン,,フォーム見つからず。TEL 03-5366-3441
974,バリューマネジメントグループ,https://www.vmc.co.jp/contact/,一般問い合わせ。依頼相談は https://www.vmc.co.jp/contact/offer/
1002,ダイドードリンコ株式会社,https://www.dydo.co.jp/contacts/,※営業提案メールには回答しない旨の記載あり
1003,三立製菓株式会社,https://www.sanritsuseika.co.jp/contact/,
1004,PRIDE CLINIC,,フォーム見つからず(予約はLINE/予約フォーム)。TEL 03-5944-0338
1005,株式会社 V and P,https://www.vetzpetz.jp/shop/contact/,法人窓口メール info-biz@vandp.co.jp
1006,奈良県,https://www.secure.pref.nara.jp/1486.html,県の問い合わせメールフォーム
1007,ベルトラ株式会社,https://corp.veltra.com/contact/form/other/,法人のお客様(その他)フォーム。メール corporate.jp@veltra.com
1008,名湯一門 高見屋,,フォーム見つからず(各施設への電話/予約が窓口)
1009,株式会社キズキ,https://kizuki.or.jp/company/contactus/,
1010,求人ジャーナル,https://www.journal.co.jp/contact/,
1011,島根県,https://www.pref.shimane.lg.jp/phone/,問い合わせ窓口一覧ページ。広聴広報課メール kouhou@pref.shimane.lg.jp
1012,東急カード株式会社,https://www.topcard.co.jp/inquiry/index.html,フォームではなくFAQ・電話窓口ページ。TEL 0570-026-109
1013,標津町,https://shibetsutown.jp/toiawase/,
1015,一般社団法人那須町観光協会,https://www.nasukogen.org/contact/,※観光関連限定・営業/勧誘お断りの記載あり。メール info@nasukogen.org
1016,ＳＭＢＣ日興証券株式会社,https://trade.smbcnikko.co.jp/GoikenMail/1/goiken/mail/befor_doui,ご意見・お問い合わせフォーム
1017,東急スポーツシステム株式会社,https://www.tokyu-sports.com/company/contact.html,法人向け https://tokyu-sports.com/company/contact/corporate_member.html
1018,勝希,https://www.pets-family.jp/contact,
1019,常磐興産株式会社(ハワイアンズ),,フォーム見つからず。TEL 0570-550-550
1020,株式会社京葉銀行,https://www.keiyobank.co.jp/support/,サポート・お問い合わせページ(フォーム入口)
1021,韮崎市,,フォーム見つからず(各課直通電話での連絡を案内)
1022,港区,https://www.city.minato.tokyo.jp/kouchou/kuse/kocho/iken/call-center.html,みなとコール(コールセンター)案内ページ。フォームは外部サイト
1023,飯綱町,https://www.town.iizuna.nagano.jp/kosodatesite/otoiawase/,※子育てサイト内のお問い合わせフォーム
1024,ヤマキ株式会社,https://www.yamaki.co.jp/contact/,入口ページ https://www.yamaki.co.jp/inquiry.html
1025,ペットゴー,https://corp.petgo.jp/contact/,※電話不可・フォームのみ。プレス press@petgo.co.jp
1026,株式会社瀬戸内ブランドコーポレーション,https://setouchi-bc.co.jp/contact,TEL 082-836-3205
1027,株式会社マイネット,https://www.mynet.co.jp/contact/other,事業向けは https://www.mynet.co.jp/contact/service
1030,株式会社オープンドア(トラベルコ),https://www.opendoor.co.jp/contact/,TEL 03-3586-8730
1029,三井住友カード株式会社,https://www.smbc-card.com/hojin/inquiry/index.jsp,法人カードの入会・お問い合わせページ
1031,and factory株式会社,https://andfactory.co.jp/contact/,メール info@andfactory.co.jp
1032,カゴメ株式会社,https://pass.kagome.co.jp/,お客様相談センターのフォーム
1034,株式会社みんなの銀行,https://contact.minna-no-ginko.com/regist/is?SMPFORM=qcma-ldsfqe-862f96a7eb18c1f0f33cdac44bc8f898,企業向けお問い合わせフォーム
1035,株式会社浜友E.F.,https://hamatomo.co.jp/contact,TEL 053-452-5033
1036,株式会社赤鹿地所,https://corp.akashika-jisho.co.jp/contact,
1037,株式会社新保浴場(黄金湯),https://koganeyu.com/contact,メール info@koganeyu.com
1038,近鉄不動産株式会社,https://www.kintetsu-re.co.jp/contact/,
1039,三井ホーム株式会社,https://www.mitsuihome.co.jp/support/sonota/form.php,総合お問い合わせフォーム
1040,株式会社アクアイグニス,https://aquaignis.jp/contact.php,メール info@aquaignis.jp。法人サイトは aquaignis-company.jp
1041,株式会社シティホームズ,https://city-homes.jp/contact/,TEL 03-6435-5833
1042,東急リバブル株式会社,https://www.livable.co.jp/contact/,
1043,株式会社コスギ不動産ホールディングス,https://www.kosugi-f.com/contact,※契約者向け・営業勧誘お断りの記載あり。TEL 096-366-5000
1044,富士スピードウェイ株式会社,https://www.fsw.tv/CGI/inquiry/form.cgi,
