id,company,form_url,hp_url,url1,url2
1,Confis,https://con-fis.com/contact/,https://con-fis.com/,,
2,Great Design.,https://great-design.jp/contact/,https://great-design.jp/,,
3,IMR事業協同組合,https://www.imr-x.com/contact/,https://www.imr-x.com/,,
4,KOJI.,https://kojidot.com/contact/,https://kojidot.com/,,
5,LEMITH合同会社,https://lemith.jp/contact/,https://lemith.jp/,,
6,Living days,,https://www.rakuten.co.jp/aubeshop/,,
7,Lumeland 公式ショップ,,https://www.rakuten.co.jp/lumeland/,,
8,MARY’S(マリーズ),,https://www.rakuten.co.jp/andmagic/,,
9,MAWA Shop 楽天市場店,,https://www.rakuten.co.jp/mawa/,,
10,MeReCare-y(メリケア)楽天市場店,https://www.rakuten.ne.jp/gold/merecare/contact_us.html,https://www.rakuten.co.jp/merecare/,,
11,MIGABER,,https://www.rakuten.co.jp/migaber/,,
12,monet fav 楽天市場店,,https://www.rakuten.co.jp/nisyoshop/,,
13,MONOTOKI-モノトキ-,https://ldhd.co.jp/contact,https://www.rakuten.co.jp/monotoki/,,
14,moophem(ムーフェム),,https://www.rakuten.co.jp/e-me-store/,,
15,MTK SHOP 楽天市場店,https://mitsukin.info/inquiry/,https://www.rakuten.co.jp/mtkshop/,,
16,mucstore,,https://www.rakuten.co.jp/mucshop/,,
17,MyRelief,,https://www.rakuten.co.jp/nby-online/,,
18,NARITA SHOP,,https://www.rakuten.co.jp/ntsgmask/,,
19,Nextオンライン,,https://www.rakuten.co.jp/next-online/,,
20,NICHIGA(楽天市場店),https://www.garlic.co.jp/contact,https://www.rakuten.co.jp/auc-garlic/,,
21,ONE STEP,,https://www.rakuten.co.jp/h2brothers/,,
22,Onips Vision,,https://www.rakuten.co.jp/onips-vision/,,
23,OriginalSelf合同会社,https://forms.gle/e8E5WU6UuynnfraCA,https://www.originalself.jp/,,
24,OutGreen Life,,https://www.rakuten.co.jp/outgreenlife/,,
25,OwnLife,,https://www.rakuten.co.jp/ownlife/,,
26,PJ-T&C合同会社,https://pj-tc.com/contactform/,https://pj-tc.com/,,
27,RISUKAI,https://risukai.net/contact,https://www.rakuten.co.jp/auc-risukai/,,
28,sarasa design store,,https://www.rakuten.co.jp/sarasa-designstore/,,
29,SI-K.shops,,https://www.rakuten.co.jp/si-k-shops/,,
30,Skyselect,,,,
31,StarTry,,,,
32,Sunmine,,https://www.rakuten.co.jp/sunmine-mine/,,
33,SUNS-Shop,,https://www.rakuten.co.jp/boi-suns/,,
34,SUNSSHOP キャット店,,https://www.rakuten.co.jp/sunscat/,,
35,SUWADA OFFICIAL SHOP 楽天市場店,https://www.suwada.co.jp/contact_ja,https://www.rakuten.co.jp/suwada-official-shop/,,
36,tempostar,,https://www.rakuten.co.jp/tempostar/,,
37,TENTIAL,https://tential.jp/contact,https://www.rakuten.co.jp/tential/,,
38,TIRE SHOP 4U 楽天市場店,https://tireshop4u.jp/html/email.html,https://www.rakuten.co.jp/tireshop4u/,,
39,TK-JIANG,,https://www.rakuten.co.jp/takara-jiang/,,
40,TOKA,,https://www.rakuten.co.jp/mmservice/,,
41,TOWA-zakka,,https://www.rakuten.co.jp/kainan-zakka/,,
42,TRADE LINE,,https://www.rakuten.co.jp/tradeline/,,
43,Trade-ABC 楽天市場店,,https://www.rakuten.co.jp/trade-abc/,,
44,TRINITY COSME.,,https://www.rakuten.co.jp/trinity-cosme/,,
45,TSUKI WEB株式会社,https://tsuki-web.com/contact,https://tsuki-web.com/,,
46,tukn.(トゥクン)レディース靴,,https://www.rakuten.co.jp/tukn/,,
47,UCHINO 楽天市場店,https://en.uchino.co.jp/contact/,https://www.rakuten.co.jp/uchino-towelandbath/,,
48,Umimile,https://umimile.com/pages/contact,https://www.rakuten.co.jp/meilulan/,,
49,uuwa!ビーナスセレクト,,https://www.rakuten.co.jp/uuwa/,,
50,vision shop,,https://www.rakuten.co.jp/visionshop/,,
51,winwin-product,,https://www.rakuten.co.jp/winwinproduct/,,
52,yoimono Plaza,,https://www.rakuten.co.jp/yoimonoplaza/,,
53,YuLago(ユラゴ),,https://www.rakuten.co.jp/yukinosizuku/,,
54,アースダンボール楽天市場店,https://www.bestcarton.com/inquiry/,https://www.rakuten.co.jp/auc-bestcarton/,,
55,アクティブ ガジェット ジーテック,,https://www.rakuten.co.jp/slipper-mogami/,,
56,アストロ Official Shop,https://www.astro-co.jp/contact.html,https://www.rakuten.co.jp/1storage/,,
