媒体,職種,拠点,表示数,クリック数,応募数,面接数,採用数,広告費,クリック率,応募率,面接設定率,採用率,クリック単価,応募単価,採用単価,応募数前月比,応募単価前月比,応募数目標比,応募単価目標比
Indeed,法人営業,東京,22000,900,30,12,3,120000,4.1,3.3,40.0,10.0,133,4000,40000,50.0,-20.0,100.0,88.9
Indeed,一般事務,東京,18000,900,30,10,1,150000,5.0,3.3,33.3,3.3,167,5000,150000,20.0,66.7,107.1,125.0
求人ボックス,法人営業,大阪,30000,1500,5,2,0,90000,5.0,0.3,40.0,0.0,60,18000,N/A,-37.5,69.4,50.0,225.0
エンゲージ,一般事務,大阪,5000,200,4,3,2,40000,4.0,2.0,75.0,50.0,200,10000,20000,-20.0,25.0,80.0,125.0
エンゲージ,コールセンタースタッフ,東京,8000,320,12,4,1,60000,4.0,3.8,33.3,8.3,188,5000,60000,NEW,NEW,NOT_SET,NOT_SET
求人ボックス,一般事務,東京,12000,300,0,0,0,45000,2.5,0.0,N/A,N/A,150,N/A,N/A,-100.0,N/A,0.0,N/A
Indeed,コールセンタースタッフ,大阪,,400,10,,1,50000,N/A,2.5,N/A,10.0,125,5000,50000,11.1,-6.2,100.0,100.0
求人ボックス,コールセンタースタッフ,大阪,15000,500,1,0,0,80000,3.3,0.2,0.0,0.0,160,80000,N/A,-75.0,357.1,NOT_SET,NOT_SET
エンゲージ,法人営業,東京,4000,150,6,2,1,0,3.8,4.0,33.3,16.7,0,0,0,20.0,0.0,120.0,NOT_SET
全体,合計,-,114000,5170,98,33,9,635000,4.5,1.9,33.7,9.2,123,6480,70556,24.1,11.3,105.4,NOT_SET
